Vulnerability Type,Description,Severity,Exploitability
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Low
Password Security,Weak password policy allowing easily guessable passwords.,Critical,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Medium
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Critical,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Low,Low
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,High
Access Control,Exploited weak access control rules in API endpoints.,High,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,Low,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,High,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,High,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,High
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Medium
Static Code Analysis,Detected hardcoded credentials in the source code.,High,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Critical,Medium
Automated Scanning,Found insecure HTTP methods enabled.,Critical,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Medium
Database Vulnerabilities,Detected default admin credentials in database configuration.,Low,High
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Medium,Medium
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,Medium
Session Management,Session did not expire properly after logout.,Low,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,Medium
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Medium,Low
Session Management,Reused session ID for unauthorized access.,Medium,Critical
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,High
Reconnaissance,Found outdated software versions during recon phase.,High,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Medium,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Low,High
Access Control,Exploited weak access control rules in API endpoints.,High,High
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,Critical
Password Security,Passwords stored using weak hashing algorithm.,High,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Low
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Low,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Low
Input Field Testing,Bypassed client-side validation using web proxies.,Critical,Medium
Static Code Analysis,Improper input validation leading to potential code injection.,Critical,Low
Access Control,Exploited weak access control rules in API endpoints.,Medium,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,High
Input Field Testing,Bypassed client-side validation using web proxies.,Low,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,Critical
Password Security,Passwords stored using weak hashing algorithm.,Medium,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Critical,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,Medium
Session Management,Session did not expire properly after logout.,Critical,Critical
Reconnaissance,Detected subdomains hosting vulnerable services.,Critical,Low
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,High,Low
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,High,Low
Input Field Testing,Bypassed client-side validation using web proxies.,High,High
Access Control,Bypassed access control to access restricted admin resources.,High,Medium
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Medium,Medium
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,High,Low
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,High
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Critical,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,Medium
Reconnaissance,Found outdated software versions during recon phase.,Critical,High
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,Critical
Password Security,"No password complexity enforcement, allowing dictionary attacks.",High,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Low
Access Control,Unauthorized users could access privileged actions.,Medium,High
Input Field Testing,Bypassed client-side validation using web proxies.,Medium,Critical
XSS Testing,Injected script that executed on multiple user sessions.,High,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Low
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Low
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",High,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,Low,Critical
Reconnaissance,Detected subdomains hosting vulnerable services.,High,Medium
Session Management,Session fixation vulnerability found in login mechanism.,Medium,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Critical,Critical
Access Control,Unauthorized users could access privileged actions.,Critical,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,High,High
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Medium,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",High,High
Password Security,Passwords stored using weak hashing algorithm.,Low,High
Password Security,Passwords stored using weak hashing algorithm.,Critical,Low
Reconnaissance,Found outdated software versions during recon phase.,Critical,Medium
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,High,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,Critical
Dynamic Analysis,Discovered reflected XSS vulnerability.,High,Medium
Password Security,Passwords stored using weak hashing algorithm.,Critical,Low
XSS Testing,Injected script that executed on multiple user sessions.,Medium,Critical
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Medium,Medium
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,High
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Low,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Medium,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Critical
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,High
Automated Scanning,Found insecure HTTP methods enabled.,Low,Medium
Session Management,Session fixation vulnerability found in login mechanism.,High,Critical
